Pais	Provincia	Partido	Localidad	ADSL	Cablemódem	Dial Up	Fibra óptica	4G	3G	Telefonía Fija	Wireless	Satelital	Total	Latitude	Longitude	location
ARGENTINA	BUENOS AIRES	9 de Julio	9 de Julio	1	1	1	1	1	1	1	1	1	9			
ARGENTINA	BUENOS AIRES	9 de Julio	Alfredo Demarchi (Est. Facundo Quiroga)	1	0	0	0	1	1	1	0	0	4			
ARGENTINA	BUENOS AIRES	9 de Julio	Carlos María Naón	0	0	0	0	1	1	1	0	0	3	-35.2371306	-60.8232586	Carlos María Naón, Cuartel Carlos Naón, Partido de Nueve de Julio, Buenos Aires, 6515, Argentina
ARGENTINA	BUENOS AIRES	9 de Julio	Dudignac	0	0	1	0	1	1	1	1	0	5	-35.6500558	-60.7094557	Dudignac, Cuartel Dudignac, Partido de Nueve de Julio, Buenos Aires, B6505AGP, Argentina
ARGENTINA	BUENOS AIRES	9 de Julio	La Aurora (Est. La Niña)	0	0	0	0	1	0	0	0	0	1			
ARGENTINA	BUENOS AIRES	9 de Julio	Manuel B. Gonnet (Est. French)	1	0	0	1	1	1	1	0	0	5			
ARGENTINA	BUENOS AIRES	9 de Julio	Marcelino Ugarte (Est. Dennehy)	0	0	0	0	1	0	1	0	0	2			
ARGENTINA	BUENOS AIRES	9 de Julio	Morea	0	0	0	0	0	0	1	1	0	2	-35.5534563	-60.5624755	Morea, Cuartel Morea, Partido de Nueve de Julio, Buenos Aires, 6507, Argentina
ARGENTINA	BUENOS AIRES	9 de Julio	Norumbega	0	0	0	0	0	0	1	0	0	1	-35.5350969	-60.7931165	Norumbega, Cuartel Norumbega, Partido de Nueve de Julio, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	9 de Julio	Patricios	1	0	0	0	0	1	1	1	0	4	-35.4411137	-60.7165947	Patricios, Cuartel Patricios, Partido de Nueve de Julio, Buenos Aires, 6503, Argentina
ARGENTINA	BUENOS AIRES	9 de Julio	Villa General Fournier (Est. 9 de Julio Sud)	0	0	0	1	1	1	1	1	0	5			
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Carhué	1	0	1	1	1	1	1	1	0	7	-37.1795038	-62.7583959	Carhué, Partido de Adolfo Alsina, Buenos Aires, 6430, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Colonia San Miguel Arcángel	0	0	0	1	1	0	1	0	0	3	-37.45	-63.116667	Colonia San Miguel Arcángel, Partido de Adolfo Alsina, Buenos Aires, 8185, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Delfín Huergo	0	0	0	0	0	0	0	0	0	0	-37.3200392	-63.233764	Delfín Huergo, Partido de Adolfo Alsina, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Espartillar	0	0	0	0	1	0	0	0	0	1	-37.3561051	-62.4529048	Acceso a Espartillar, Partido de Adolfo Alsina, Buenos Aires, B8171, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Esteban Agustín Gascón	0	0	0	1	0	0	1	0	0	2	-37.4553229	-63.2552214	Esteban Agustín Gascón, Partido de Adolfo Alsina, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	La Pala	0	0	0	0	0	0	0	0	0	0	-36.6638823	-63.3663665	La Pala, Partido de Adolfo Alsina, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Maza	0	0	0	1	1	1	1	1	1	6	-36.8000899	-63.3392048	Maza, Partido de Adolfo Alsina, Buenos Aires, 6343, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Rivera	0	0	0	1	1	0	1	0	0	3	-37.1604846	-63.2418596	Rivera, Partido de Adolfo Alsina, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Thames	0	0	0	0	0	0	0	0	0	0	-36.9259243	-63.2954543	Thames, Partido de Adolfo Alsina, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Villa Margarita	0	0	0	0	0	0	0	0	0	0	-37.4606212	-63.2424663	Villa Margarita, Esteban Agustín Gascón, Partido de Adolfo Alsina, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Alsina	Yutuyaco	0	0	0	0	0	0	0	0	0	0	-36.9879035	-63.1332365	Yutuyaco, Partido de Adolfo Alsina, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Gonzales Chaves	Adolfo Gonzales Chaves (Est. Chaves)	1	0	1	1	1	1	1	1	0	7			
ARGENTINA	BUENOS AIRES	Adolfo Gonzales Chaves	De la Garma	0	0	0	1	1	1	1	1	0	5	-37.9655028	-60.4150897	De la Garma, Partido de Adolfo Gonzales Chaves, Buenos Aires, 7515, Argentina
ARGENTINA	BUENOS AIRES	Adolfo Gonzales Chaves	Juan E. Barra	0	0	0	0	0	0	1	1	0	2			
ARGENTINA	BUENOS AIRES	Adolfo Gonzales Chaves	Vásquez	0	0	0	0	1	1	1	1	0	4	-38.176582	-60.1697845	Vásquez, Partido de Adolfo Gonzales Chaves, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Alberti	Alberti (Est. Andrés Vaccarezza)	1	0	1	1	1	1	1	1	0	7			
ARGENTINA	BUENOS AIRES	Alberti	Coronel Seguí	0	0	0	0	0	0	0	0	0	0	-34.8674333	-60.3921732	Coronel Seguí, Partido de Alberti, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Alberti	Mechita	1	0	0	0	1	1	0	0	0	3	-35.0662783	-60.4066569	Mechita, Crucero General Belgrano, Mechita, Cuartel Mechita, Partido de Alberti, Buenos Aires, 6648, Argentina
ARGENTINA	BUENOS AIRES	Alberti	Pla	0	0	0	0	0	0	1	0	0	1	-35.1224585	-60.2210492	Plá, Partido de Alberti, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Alberti	Villa Grisolía (Est. Achupallas)	0	0	0	0	1	1	0	0	0	2			
ARGENTINA	BUENOS AIRES	Alberti	Villa María	0	0	0	0	0	0	0	0	0	0	-34.8870916	-60.3436374	Villa María, Partido de Alberti, Buenos Aires, B6628, Argentina
ARGENTINA	BUENOS AIRES	Alberti	Villa Ortiz (Est. Coronel Mom)	0	0	0	0	1	1	1	0	0	3			
ARGENTINA	BUENOS AIRES	Almirante Brown	Adrogué	1	1	1	1	1	1	1	1	1	9	-34.7973853	-58.3885508	Adrogué, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Burzaco	1	1	1	1	1	1	1	1	1	9	-34.8258956	-58.3950536	Burzaco, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Claypole	1	1	1	1	1	1	1	1	0	8	-34.8042867	-58.3440907	Claypole, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Don Orione	0	1	0	0	1	1	0	1	0	4	-34.806287	-58.3361869	Don Orione, Claypole, Partido de Almirante Brown, Buenos Aires, B1849, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Glew	1	1	1	1	1	1	1	1	0	8	-34.888445	-58.3845646	Glew, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Jose Mármol	0	1	1	1	1	1	1	1	0	7	-34.7872701	-58.3690104	José Mármol, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Longchamps	1	1	1	1	1	1	1	1	0	8	-34.85803	-58.3881462	Longchamps, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Malvinas Argentinas	1	1	1	1	1	1	1	1	0	8	-34.8187342	-58.4240051	Malvinas Argentinas, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Ministro Rivadavia	1	1	1	1	1	1	1	1	0	8	-34.840797	-58.3640255	Ministro Rivadavia, Partido de Almirante Brown, Buenos Aires, 1848, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	Rafael Calzada	1	1	1	1	1	1	1	1	0	8	-34.7916002	-58.3507175	Rafael Calzada, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	San Francisco Solano	1	1	1	1	1	1	1	1	0	8	-34.7862141	-58.3234077	San Francisco Solano, Partido de Almirante Brown, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Almirante Brown	San Jose	1	1	1	1	1	1	1	1	1	9	-34.7682371	-58.3456937	San José, Partido de Almirante Brown, Buenos Aires, B1844, Argentina
ARGENTINA	BUENOS AIRES	Arrecifes	Arrecifes	1	1	1	1	1	1	1	1	1	9	-34.0590044	-60.0930183	Arrecifes, 150, Avenida Rubén Luis Di Palma, Arrecifes, Partido de Arrecifes, Buenos Aires, 2740, Argentina
ARGENTINA	BUENOS AIRES	Arrecifes	Todd	0	0	0	1	1	1	1	0	0	4	-34.0311992	-60.1545554	Todd, Partido de Arrecifes, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Arrecifes	Viña	1	1	0	0	1	1	0	0	0	4	-33.990645	-60.2261382	Viña, Partido de Arrecifes, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Area Reserva Cinturón Ecológico	0	0	0	0	1	1	0	0	0	2			
ARGENTINA	BUENOS AIRES	Avellaneda	Avellaneda	1	1	1	1	1	1	1	1	1	9	-34.6620421	-58.3766549	Darío Santillán y Maximiliano Kosteki, Mariano Ferreyra, Avellaneda, Partido de Avellaneda, Buenos Aires, C1293ABA, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Crucesita	0	1	0	1	1	1	1	0	0	5	-34.66818245	-58.361314091072366	Club Unión de Crucesita, Pasaje Armando Croatto, Barrio Güemes, Crucecita, Avellaneda, Partido de Avellaneda, Buenos Aires, 1870, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Dock Sud	1	1	0	1	1	1	1	1	0	7	-34.6522029	-58.3470596	Dock Sud, Partido de Avellaneda, Buenos Aires, 1871, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Gerli	0	1	0	1	1	1	1	0	0	5	-34.6871089	-58.3689893	Gerli, Partido de Avellaneda, Buenos Aires, 1869, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Pineyro	0	1	0	1	1	1	1	0	0	5	-34.6697461	-58.3883434	Piñeyro, Partido de Avellaneda, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Sarandí	1	1	1	1	1	1	1	1	1	9	-34.680758	-58.3463289	Sarandí, Partido de Avellaneda, Buenos Aires, 1872, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Villa Domínico	1	1	0	1	1	1	1	1	0	7	-34.6938734	-58.3324019	Villa Domínico, Partido de Avellaneda, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Avellaneda	Wilde	1	1	1	1	1	1	1	1	0	8	-34.6984264	-58.314592	Wilde, Partido de Avellaneda, Buenos Aires, 1875, Argentina
ARGENTINA	BUENOS AIRES	Ayacucho	Ayacucho	1	0	1	0	1	1	1	1	0	6	-37.1527482	-58.4884187	Ayacucho, Partido de Ayacucho, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Ayacucho	La Constancia	0	0	0	0	0	0	0	1	0	1	-37.226133	-58.758556	La Constancia, Partido de Ayacucho, Buenos Aires, 7153, Argentina
ARGENTINA	BUENOS AIRES	Ayacucho	Solanet	0	0	0	0	1	0	0	1	0	2	-37.1562442	-58.4808456	Avenida Solanet, Martín Fierro, Ayacucho, Partido de Ayacucho, Buenos Aires, B7150, Argentina
ARGENTINA	BUENOS AIRES	Ayacucho	Udaquiola	0	0	0	0	0	0	0	1	1	2	-36.5623778	-58.5329689	Udaquiola, Partido de Ayacucho, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Azul	16 de Julio	0	0	0	0	1	1	0	0	0	2			
ARGENTINA	BUENOS AIRES	Azul	Ariel	0	0	0	0	1	0	0	0	0	1	-36.5324158	-59.9214061	Ariel, Partido de Azul, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Azul	Azul	1	1	1	1	1	1	1	1	1	9	-36.7858619	-59.8530999	Azul, Pasaje Carlos Gardel, B° 18 de Abril (Empleados de Comercio), Azul, Partido de Azul, Buenos Aires, 7300, Argentina
ARGENTINA	BUENOS AIRES	Azul	Cacharí	0	0	1	0	1	1	1	1	0	5	-36.3791286	-59.5056179	Cacharí, Partido de Azul, Buenos Aires, 7214, Argentina
ARGENTINA	BUENOS AIRES	Azul	Chillar	0	0	0	0	1	1	1	1	1	5	-37.3128702	-59.985229	Chillar, Partido de Azul, Buenos Aires, 7311, Argentina
ARGENTINA	BUENOS AIRES	Bahía Blanca	Bahía Blanca	1	1	1	1	1	1	1	1	1	9	-38.7375547	-62.2278415	Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bahía Blanca	Cabildo	0	1	1	1	1	1	1	1	0	7	-38.7535353	-62.2265937	Cabildo, Empleados de Comercio, 5 de Abril, Bahía Blanca, Partido de Bahía Blanca, Buenos Aires, B8000GYB, Argentina
ARGENTINA	BUENOS AIRES	Bahía Blanca	General Daniel Cerri (Est. General Cerri)	1	1	1	1	1	1	1	1	0	8			
ARGENTINA	BUENOS AIRES	Bahía Blanca	Grunbein	0	0	0	0	1	1	0	0	0	2	-38.7515087	-62.1792489	Grünbein, Partido de Bahía Blanca, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bahía Blanca	Ingeniero White	0	0	0	1	1	1	0	0	1	4	-38.7809419	-62.2677486	Ingeniero White, Partido de Bahía Blanca, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bahía Blanca	Villa Bordeau	0	0	0	0	1	1	0	0	0	2	-38.6909722	-62.3424619	Villa Bordeu, Partido de Bahía Blanca, Buenos Aires, 8000, Argentina
ARGENTINA	BUENOS AIRES	Bahía Blanca	Villa Espora	0	0	0	0	0	0	0	0	0	0	-38.7393706	-62.1702326604192	Villa Espora, Grünbein, Partido de Bahía Blanca, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Balcarce	Balcarce	1	1	1	1	1	1	1	1	0	8	-34.6486024	-58.543834	Balcarce y O'Higgins, Balcarce, Villa Rebasa, Ramos Mejía, Partido de La Matanza, Buenos Aires, B1702CHT, Argentina
ARGENTINA	BUENOS AIRES	Balcarce	Los Pinos	0	0	0	0	0	0	1	1	0	2	-37.9427358	-58.3242216	Los Pinos, Partido de Balcarce, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Balcarce	Napaleofú	0	0	0	1	1	1	1	1	0	5	-37.6245201	-58.746788	Napaleofú, Partido de Balcarce, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Balcarce	Ramos Otero	0	0	0	0	1	0	0	1	0	2	-37.5407532	-58.3376758	Ramos Otero, Partido de Balcarce, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Balcarce	San Agustín	0	0	0	0	0	0	1	1	0	2	-38.0140723	-58.3559248	San Agustín, Partido de Balcarce, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Balcarce	Villa Laguna La Brava	0	0	0	0	1	1	1	1	0	4	-37.8611665	-57.9810333	Villa Laguna La Brava, Partido de Balcarce, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Baradero	Baradero	1	1	0	1	1	1	1	1	1	8	-33.819481	-59.5171228	Baradero, Avenida Tomás Edison, Maipu, Baradero, Partido de Baradero, Buenos Aires, B2942CDC, Argentina
ARGENTINA	BUENOS AIRES	Baradero	Irineo Portela	0	0	0	1	0	0	1	1	1	4			
ARGENTINA	BUENOS AIRES	Baradero	Santa Coloma	0	0	0	0	1	0	0	1	0	2	-34.0594325	-59.5581082	Santa Coloma, Partido de Baradero, Buenos Aires, 2761, Argentina
ARGENTINA	BUENOS AIRES	Baradero	Villa Alsina (Est. Alsina)	1	0	0	0	1	1	1	1	0	5			
ARGENTINA	BUENOS AIRES	Benito Juárez	Barker	0	0	1	1	1	1	1	1	1	7	-37.6396234	-59.3909499	Barker, Partido de Benito Juárez, Buenos Aires, 7005, Argentina
ARGENTINA	BUENOS AIRES	Benito Juárez	Benito Juárez (Est. Juárez)	1	0	1	1	1	1	1	1	1	8			
ARGENTINA	BUENOS AIRES	Benito Juárez	López	0	0	0	1	0	0	0	1	0	2	-37.5528005	-59.6270551	Estación López, Partido de Benito Juárez, Buenos Aires, B7021XAB, Argentina
ARGENTINA	BUENOS AIRES	Benito Juárez	Tedín Uriburu	0	0	0	0	1	1	0	0	0	2	-37.3649984	-59.7592656	Tedín Uriburu, Partido de Benito Juárez, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Benito Juárez	Villa Cacique (Est. Alfredo Fortabat)	0	0	0	1	1	1	0	1	1	5			
ARGENTINA	BUENOS AIRES	Berazategui	Berazategui	1	1	1	1	1	1	1	1	1	9	-34.7641265	-58.2084227	Berazategui, Diagonal Lisandro de la Torre, Berazategui, Partido de Berazategui, Buenos Aires, B1880BFG, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Berazategui Oeste	1	1	0	1	1	1	1	0	0	6	-34.771656050000004	-58.22833828412285	Blanquería Oeste Berazategui, Avenida 14 - Gastón F. Rigolleau, Barrio 12 de Octubre, Berazategui, Partido de Berazategui, Buenos Aires, B1884CTW, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Carlos Tomás Sourigues	1	1	0	1	1	1	1	0	0	6	-34.8059023	-58.2131653	Sourigues, Partido de Berazategui, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Centro Agrícola El Pato	1	1	0	1	1	1	1	1	0	7	-34.882521	-58.1759354	Bomberos Voluntarios de Centro Agrícola El Pato, Calle 519, El Pato, Partido de Berazategui, Buenos Aires, 1893, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Guillermo E. Hudson	1	1	1	1	1	1	1	0	0	7			
ARGENTINA	BUENOS AIRES	Berazategui	Juan María Gutierrez	1	1	1	1	1	1	1	1	0	8	-34.833619	-58.185535	Juan María Gutiérrez, Partido de Berazategui, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Pereyra	1	1	1	1	1	0	1	0	0	6	-34.8350819	-58.0948019	Pereyra, Partido de Berazategui, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Plátanos	0	1	0	1	1	1	1	0	0	5	-34.7829749	-58.1757579	Plátanos, Partido de Berazategui, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Ranelagh	1	1	1	1	1	1	1	0	1	8	-34.7867829	-58.2072598	Ranelagh, Partido de Berazategui, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Berazategui	Villa España	1	1	0	1	1	1	1	0	0	6	-34.7742876	-58.1946114	Villa España, Partido de Berazategui, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Barrio Banco Provincia	0	0	0	0	1	0	0	0	0	1	-34.8747649	-57.8545567	Barrio Banco Provincia, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Barrio El Carmen (Este)	0	0	0	1	1	1	0	1	0	4	-34.9265236	-57.8832541	Barrio El Carmen (Este), Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Barrio Universitario	0	0	0	0	1	1	0	0	0	2	-34.9011326	-57.9251016	Barrio Universitario, Berisso, Partido de Berisso, Buenos Aires, B1900FWA, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Berisso	1	1	1	1	1	1	1	1	0	8	-34.8688565	-57.8828667	Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Los Talas	0	0	0	0	0	0	0	0	0	0	-34.9054962	-57.797829	Los Talas, Partido de Berisso, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa Arguello	0	0	0	1	1	1	0	1	0	4	-34.909062	-57.9202436	Villa Argüello, Berisso, Partido de Berisso, Buenos Aires, B1900FWA, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa Dolores	0	0	0	0	1	1	0	0	0	2	-34.8799593	-57.8661544	Villa Dolores, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa Independencia	0	0	0	0	0	0	0	0	0	0	-34.8826374	-57.8608865	Villa Independencia, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa Nueva	0	0	0	1	1	1	0	1	0	4	-34.8912496	-57.9042989	Villa Nueva, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa Porteña	0	0	0	0	0	0	0	0	0	0	-34.8803683	-57.8885525	Villa Porteña, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa Progreso	0	0	0	1	0	0	0	1	0	2	-34.9195208	-57.9060844	Villa Progreso, Berisso, Partido de Berisso, Buenos Aires, B1900FWA, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa San Carlos	0	0	0	0	1	1	0	0	0	2	-34.8764339	-57.8713479	Villa San Carlos, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Berisso	Villa Zula	0	0	0	0	0	0	0	0	0	0	-34.8775653	-57.8487063	Villa Zula, Barrio Banco Provincia, Villa Zula, Partido de Berisso, Buenos Aires, 1923, Argentina
ARGENTINA	BUENOS AIRES	Bolívar	Hale	1	0	0	0	0	0	1	0	0	2	-36.0001955	-60.8562946	Halé, Partido de Bolívar, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bolívar	Juan F. Ibarra	0	0	0	0	0	0	0	0	0	0	-36.3472467	-61.2540493	Juan F. Ibarra, Partido de Bolívar, Buenos Aires, 6551, Argentina
ARGENTINA	BUENOS AIRES	Bolívar	Mariano Unzué	0	0	0	0	0	0	0	0	0	0	-36.1375442	-61.0089759	Mariano Unzué, Partido de Bolívar, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bolívar	Paula	0	0	0	0	0	0	0	0	0	0	-36.5026134	-61.0262574	Paula, Partido de Bolívar, Buenos Aires, 6557, Argentina
ARGENTINA	BUENOS AIRES	Bolívar	Pirovano	0	0	0	0	0	1	1	1	0	3	-36.5101321	-61.5554592	Pirovano, Partido de Bolívar, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bolívar	San Carlos de Bolívar (Est. Bolívar)	1	1	1	1	1	1	1	1	1	9			
ARGENTINA	BUENOS AIRES	Bolívar	Urdampilleta	0	0	1	0	1	1	1	1	0	5	-36.4301588	-61.4216644	Urdampilleta, Partido de Bolívar, Buenos Aires, 6553, Argentina
ARGENTINA	BUENOS AIRES	Bolívar	Villa Lynch Pueyrredón	0	0	0	0	0	0	0	0	0	0	-36.6011498	-61.3635986	Villa Lynch Pueyrredon, Partido de Bolívar, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bragado	Asamblea	0	0	0	0	0	0	0	0	0	0	-35.1267512	-60.4673148	Asamblea, Bragado, Cuartel Chacras de Bragado, Partido de Bragado, Buenos Aires, 6440, Argentina
ARGENTINA	BUENOS AIRES	Bragado	Bragado	1	1	1	1	1	1	1	1	0	8	-35.1194253	-60.4785112	Bragado, Aguirre, Michel, Bragado, Partido de Bragado, Buenos Aires, 6440, Argentina
ARGENTINA	BUENOS AIRES	Bragado	Comodoro Py	0	0	0	1	1	1	0	1	0	4	-35.1265759	-60.4661522	Comodoro Py, Bragado, Cuartel Chacras de Bragado, Partido de Bragado, Buenos Aires, 6440, Argentina
ARGENTINA	BUENOS AIRES	Bragado	General O'Brien	1	0	0	1	1	1	1	1	0	6	-34.905721	-60.7603035	Eduardo O'Brien, Cuartel O´Brien, Partido de Bragado, Buenos Aires, B6646ALF, Argentina
ARGENTINA	BUENOS AIRES	Bragado	Irala	0	1	0	0	1	0	1	1	0	4	-35.1272319	-60.4666482	Irala, Bragado, Cuartel Chacras de Bragado, Partido de Bragado, Buenos Aires, 6440, Argentina
ARGENTINA	BUENOS AIRES	Bragado	La Limpia	0	0	0	0	0	0	0	0	0	0	-35.1267992	-60.4657027	La Limpia, Bragado, Cuartel Chacras de Bragado, Partido de Bragado, Buenos Aires, 6440, Argentina
ARGENTINA	BUENOS AIRES	Bragado	Máximo Fernández (Est. Juan F. Salaberry)	0	0	0	0	0	0	0	0	0	0	-35.0614539	-60.7047037	Máximo Fernández (Est. Juan F. Salaberry), Ruta Provincial 64, Máximo Fernández, Cuartel Máximo Fernández, Partido de Bragado, Buenos Aires, Argentina
ARGENTINA	BUENOS AIRES	Bragado	Mechita (Est. Mecha)	1	1	0	0	0	0	0	1	0	3			
ARGENTINA	BUENOS AIRES	Bragado	Olascoaga	0	0	0	0	0	0	0	1	0	1	-35.1258296	-60.4666623	Olascoaga, Bragado, Cuartel Chacras de Bragado, Partido de Bragado, Buenos Aires, 6440, Argentina
ARGENTINA	BUENOS AIRES	Bragado	Warnes	1	0	0	0	0	0	0	1	0	2	-35.1273504	-60.4672688	Warnes, Bragado, Cuartel Chacras de Bragado, Partido de Bragado, Buenos Aires, 6440, Argentina
